Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment,social_metric1,social_metric2,social_metric3
Economic_parameters,Economic_parameters,WTE_lifetime,WTE Lifetime,20,years,,,,,,,[3],,,,
Economic_parameters,Economic_parameters,Capital_cost,Capital cost,520,$/design Mg per year,,,,,,,[3],,,,
Economic_parameters,Economic_parameters,O_M_cost,O&M cost except utility cost/income,40,$/Mg processed,,,,,,,[3],,,,
Economic_parameters,Economic_parameters,Inerest_rate,Inerest_rate,0.035,-,,,,,,,[3],,,,
Elec_Prod_Eff,Elec_Prod_Eff,Gross_Efficiency,Gross Efficiency of electricity production,0.27,fraction,,,,,,,[3],,,,
Elec_Prod_Eff,Elec_Prod_Eff,Internal_use,Fraction of produced electricity used internally,0.15,fraction,,,,,,,[3],,,,
Elec_Prod_Eff,Elec_Prod_Eff,Heat_prod_Eff,Heat Production Efficiency,0,fraction,,,,,,,[3],,,,
Elec_Prod_Eff,Elec_Prod_Eff,Steam_Pressure,Pressure of produced steam,27,bar,,,,,,,[3],Not used in calculations,,,
Elec_Prod_Eff,Elec_Prod_Eff,Steam_Temperature,Temperature of produced steam,400,C,,,,,,,[3],Not used in calculations,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Sulfur_dioxide,Sulfur dioxide,2,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,HCl,HCl,2,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,NOx,NOx,35,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,CO,CO,20,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,PM,PM,1.5,"mg/dscm  @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Dioxins_Furans,Dioxins / Furans,1.5,"ng/dscm  @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Methane,Methane,1.1,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Nitrous_Oxide,Nitrous Oxide,1.3,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Ammonia,Ammonia,2,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Hydrocarbons,Hydrocarbons,1,"ppmv @ 7% oxygen, dry",,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,As,As,0.00012,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Ba,Ba,0,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Cd,Cd,0.00006,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Cr,Cr,0.00039,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Cu,Cu,0.00003,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Hg,Hg,0.00748,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Ni,Ni,0.00033,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Pb,Pb,0.00001,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Sb,Sb,0.00119,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Se,Se,0,fraction,,,,,,,[3],,,,
Stack_metal_emission,Stack_metal_emission,Zn,Zn,0,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,As,As,0.5892,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Ba,Ba,0,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cd,Cd,0.8813,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cr,Cr,0.1677,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cu,Cu,0.0753,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Hg,Hg,0.9625,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Ni,Ni,0.1256,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Pb,Pb,0.5129,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Sb,Sb,0.5984,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Se,Se,0,fraction,,,,,,,[3],,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Zn,Zn,0.4818,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,As,As,0.41068,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Ba,Ba,1,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cd,Cd,0.11864,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cr,Cr,0.83191,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cu,Cu,0.92647,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Hg,Hg,0.03002,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Ni,Ni,0.87407,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Pb,Pb,0.48709,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Sb,Sb,0.40041,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Se,Se,1,fraction,,,,,,,[3],,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Zn,Zn,0.5182,fraction,,,,,,,[3],,,,
Metals_Recovery,Metals_Recovery,Fe_Rec_Rate,Ferrous Recovery Rate from Bottom Ash,0.9,fraction,,,,,,,[3],,,,
Metals_Recovery,Metals_Recovery,Al_Rec_Rate,Aluminum Recovery Rate from Bottom Ash,0.65,fraction,,,,,,,[3],,,,
Metals_Recovery,Metals_Recovery,Fly_ash_frac,Fraction of Ash that Becomes Fly Ash,0.05,fraction,,,,,,,[3],,,,
Material_Consumption,Material_Consumption,lime,Mg lime/Mg MSW,0.012,Mg/Mgww,,,,,,,[3],,,,
Material_Consumption,Material_Consumption,ammonia,Mg ammonia/Mg MSW,0.0004,Mg/Mgww,,,,,,,[3],,,,
Material_Consumption,Material_Consumption,carbon,Mg carbon/Mg MSW,0.0006,Mg/Mgww,,,,,,,[3],,,,
Material_Consumption,Material_Consumption,Distance_from_prod_fac,Distance_from_prod_fac,100,km,,,,,,,[3],,,,
Material_Consumption,Material_Consumption,Empty_Return_Truck,Empty_Return_Truck,1,0/1 (No/Yes),,,,,,,[3],,,,
Social_Metric,Social_Metric,Yard_Trimmings_Leaves,Social metric of Yard_Trimmings_Leaves,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Yard_Trimmings_Grass,Social metric of Yard_Trimmings_Grass,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Yard_Trimmings_Branches,Social metric of Yard_Trimmings_Branches,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Food_Waste_Vegetable,Social metric of Food_Waste_Vegetable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Food_Waste_Non_Vegetable,Social metric of Food_Waste_Non_Vegetable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Wood,Social metric of Wood,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Wood_Other,Social metric of Wood_Other,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Textiles,Social metric of Textiles,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Rubber_Leather,Social metric of Rubber_Leather,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Newsprint,Social metric of Newsprint,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Corr_Cardboard,Social metric of Corr_Cardboard,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Office_Paper,Social metric of Office_Paper,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Magazines,Social metric of Magazines,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Third_Class_Mail,Social metric of Third_Class_Mail,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Folding_Containers,Social metric of Folding_Containers,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Paper_Bags,Social metric of Paper_Bags,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Mixed_Paper,Social metric of Mixed_Paper,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Paper_Non_recyclable,Social metric of Paper_Non_recyclable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,HDPE_Translucent_Containers,Social metric of HDPE_Translucent_Containers,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,HDPE_Pigmented_Containers,Social metric of HDPE_Pigmented_Containers,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,PET_Containers,Social metric of PET_Containers,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Plastic_Other_1_Polypropylene,Social metric of Plastic_Other_1_Polypropylene,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Plastic_Other_2,Social metric of Plastic_Other_2,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Mixed_Plastic,Social metric of Mixed_Plastic,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Plastic_Film,Social metric of Plastic_Film,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Plastic_Non_Recyclable,Social metric of Plastic_Non_Recyclable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Ferrous_Cans,Social metric of Ferrous_Cans,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Ferrous_Metal_Other,Social metric of Ferrous_Metal_Other,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Aluminum_Cans,Social metric of Aluminum_Cans,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Aluminum_Foil,Social metric of Aluminum_Foil,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Aluminum_Other,Social metric of Aluminum_Other,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Ferrous_Non_recyclable,Social metric of Ferrous_Non_recyclable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Al_Non_recyclable,Social metric of Al_Non_recyclable,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Glass_Brown,Social metric of Glass_Brown,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Glass_Green,Social metric of Glass_Green,,$/Mg,,,,,,,,,66.91,0.7,0
Social_Metric,Social_Metric,Glass_Clear,Social metric of Glass_Clear,,$/Mg,,,,,,,,,66.91,0.7,0
